Unidades Curriculares,Código Fénix,"Nova Codificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Prática de Tradução Espanhol-Português,86643,LIN2044,TP1 - ZOOM,S2,José Leon Acosta Carrillo,,,,12:30-14:00,,
Prática de Tradução Espanhol-Português,86643,LIN2044,TP1A,S2,José Leon Acosta Carrillo,,15:30-17:00,,,,
Prática de Tradução Espanhol-Português,86643,LIN2044,TP1B,S2,José Leon Acosta Carrillo,,17:00-18:30,,,,
Prática de Tradução Francês-Português,86654,LIN2045,TP1,S2,Guilhermina Augusta Pelicano Jorge,,11:00-12:30,11:00-12:30,,,
Prática de Tradução Francês-Português,86654,LIN2045,TP1 - ZOOM,S2,Guilhermina Augusta Pelicano Jorge,11:00-12:30,,,,,
Prática de Tradução Inglês-Português,86950,LIN2046,TP1 - ZOOM,S1,Rui Vitorino Azevedo,,,,08:00-09:30,,
Prática de Tradução Inglês-Português,86950,LIN2046,TP1A,S1,Rui Vitorino Azevedo,,,08:00-09:30,,,
Prática de Tradução Inglês-Português,86950,LIN2046,TP1B,S1,Rui Vitorino Azevedo,,,09:30-11:00,,,
Prática de Tradução Inglês-Português,86950,LIN2046,TP2 - ZOOM,S2,Rui Vitorino Azevedo,,,,,08:00-09:30,
Prática de Tradução Inglês-Português,86950,LIN2046,TP2A,S2,Rui Vitorino Azevedo,,,08:00-09:30,,,
Prática de Tradução Inglês-Português,86950,LIN2046,TP2B,S2,Rui Vitorino Azevedo,,,09:30-11:00,,,
Prática de Tradução Italiano-Português,86665,LIN2047,TP1,S1,Gaspare Antonino Trapani,,11:00-12:30,,11:00-12:30,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Prática de Tradução Italiano-Português,86665,LIN2047,TP1 - ZOOM,S1,Gaspare Antonino Trapani,,,,,11:00-12:30,
Prática de Tradução Literária Alemão-Português,86961,LAC1007,TP1,S2,Claudia Jeannette Fischer,,09:30-11:00,,,,
Prática de Tradução Literária Alemão-Português,86961,LAC1007,TP1 - ZOOM,S2,Claudia Jeannette Fischer,,,,11:00-12:30,,
Prática de Tradução Literária Espanhol-Português,86972,LIN2048,TP1,S1,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,,11:00-12:30,,,
Prática de Tradução Literária Espanhol-Português,86972,LIN2048,TP1 - ZOOM,S1,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,,,,09:30-11:00,
Prática de Tradução Literária Francês-Português,86983,LIN2049,TP1,S2,Maria Cristina Lopes Avelino,,08:00-09:30,,08:00-09:30,,
Prática de Tradução Literária Francês-Português,86983,LIN2049,TP1 - ZOOM,S2,Maria Cristina Lopes Avelino,,,,,08:00-09:30,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP1 - ZOOM,S1,Maria Teresa Correia Casal,,11:00-12:30,,,,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP1A,S1,Maria Teresa Correia Casal,,,,11:00-12:30,,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP1B,S1,Maria Teresa Correia Casal,,,,12:30-14:00,,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP2 - ZOOM,S2,Rui Vitorino Azevedo,,,,,09:30-11:00,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP2A,S2,Rui Vitorino Azevedo,08:00-09:30,,,,,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP2B,S2,Rui Vitorino Azevedo,09:30-11:00,,,,,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP3 - ZOOM,S2,Maria Teresa Correia Casal,,,,,09:30-11:00,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP3A,S2,Maria Teresa Correia Casal,,,15:30-17:00,,,
Prática de Tradução Literária Inglês-Português,86994,LIN2050,TP3B,S2,Maria Teresa Correia Casal,,,17:00-18:30,,,
Prática de Tradução Romeno-Português,86941,LIN2051,TP1,S2,Roxana Stela Ciolaneanu,11:00-12:30,,,,,
Prática de Tradução Romeno-Português,86941,LIN2051,TP1 - ZOOM,S2,Roxana Stela Ciolaneanu,,,,,09:30-11:00,
Prática de Tradução Técnica Espanhol-Português,87012,LIN2052,TP1,S2,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,,,17:00-18:30,,
Prática de Tradução Técnica Espanhol-Português,87012,LIN2052,TP1 - ZOOM,S2,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,18:30-20:00,,,,
Prática de Tradução Técnica Francês-Português,87023,LIN2053,TP1,S2,Sépideh Radfar,,,,15:30-17:00,,
Prática de Tradução Técnica Francês-Português,87023,LIN2053,TP1 - ZOOM,S2,Sépideh Radfar,,,14:00-15:30,,,
Prática de Tradução Técnica Inglês-Português,87034,LAC2233,TP1 - ZOOM,S1,Miguel Figueiredo,,12:30-14:00,,,,
Prática de Tradução Técnica Inglês-Português,87034,LAC2233,TP1A,S1,Miguel Figueiredo,14:00-15:30,,,,,
Prática de Tradução Técnica Inglês-Português,87034,LAC2233,TP1B,S1,Miguel Figueiredo,15:30-17:00,,,,,
Prática de Tradução Técnica Inglês-Português,87034,LAC2233,TP2 - ZOOM,S2,Miguel Figueiredo,,,09:30-11:00,,,
Prática de Tradução Técnica Inglês-Português,87034,LAC2233,TP2A,S2,Miguel Figueiredo,,11:00-12:30,,,,
Prática de Tradução Técnica Inglês-Português,87034,LAC2233,TP2B,S2,Miguel Figueiredo,,12:30-14:00,,,,
Pré-História das Sociedades Camponesas,77564,HIS2103,TP1 - ZOOM,S1,Mariana Teodósia de Lemos Castelo Branco Dinis,09:30-11:00,,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Pré-História das Sociedades Camponesas,77564,HIS2103,TP1A,S1,Mariana Teodósia de Lemos Castelo Branco Dinis,,,,14:00-15:30,,
Pré-História das Sociedades Camponesas,77564,HIS2103,TP1B,S1,Mariana Teodósia de Lemos Castelo Branco Dinis,,,,15:30-17:00,,
Pré-História das Sociedades Camponesas,77564,HIS2103,TP2 e TP3 - ZOOM,S2,Ana Catarina de Freitas Alves Bravo de Sousa,,,09:30-11:00,,,
Pré-História das Sociedades Camponesas,77564,HIS2103,TP2A,S2,Ana Catarina de Freitas Alves Bravo de Sousa,,,,08:00-09:30,,
Pré-História das Sociedades Camponesas,77564,HIS2103,TP2B,S2,Ana Catarina de Freitas Alves Bravo de Sousa,,,,09:30-11:00,,
Pré-História das Sociedades Camponesas,77564,HIS2103,TP3A,S2,Ana Catarina de Freitas Alves Bravo de Sousa,,,,,14:00-15:30,
Pré-História das Sociedades Camponesas,77564,HIS2103,TP3B,S2,Ana Catarina de Freitas Alves Bravo de Sousa,,,,,15:30-17:00,
Primeiras Sociedades Camponesas na Península Ibérica,77632,HIS2104,TP1 - ZOOM,S2,Mariana Teodósia de Lemos Castelo Branco Dinis,,,,12:30-14:00,,
Primeiras Sociedades Camponesas na Península Ibérica,77632,HIS2104,TP1A,S2,Mariana Teodósia de Lemos Castelo Branco Dinis,,,11:00-12:30,,,
Primeiras Sociedades Camponesas na Península Ibérica,77632,HIS2104,TP1B,S2,Mariana Teodósia de Lemos Castelo Branco Dinis,,,12:30-14:00,,,
Problemática da Cultura Alemã,62225,LAC2135,TP1,S1,Filomena Maria Confraria Viana Guarda,12:30-14:00,,,,,
Problemática da Cultura Alemã,62225,LAC2135,TP1 - ZOOM,S1,Filomena Maria Confraria Viana Guarda,,,,12:30-14:00,,
Produção do Português Escrito,85346,LIN1006,TP1 - ZOOM,S1,Anabela Proença Leitão Martins Gonçalves/Maria Madalena Coelho da Mota Brito Colaço Belo,,,12:30-14:00,,,
Produção do Português Escrito,85346,LIN1006,TP10 -ZOOM,S2,Nélia Maria Pedro Alexandre,,,,,15:30-17:00,
Produção do Português Escrito,85346,LIN1006,TP10A,S2,Nélia Maria Pedro Alexandre,,15:30-17:00,,,,
Produção do Português Escrito,85346,LIN1006,TP10B,S2,Nélia Maria Pedro Alexandre,,17:00-18:30,,,,
Produção do Português Escrito,85346,LIN1006,TP11 - ZOOM,S1,Jorge Alexandre Loureiro Pinto,,15:30-17:00,,,,
Produção do Português Escrito,85346,LIN1006,TP11A,S1,Jorge Alexandre Loureiro Pinto,15:30-17:00,,,,,
Produção do Português Escrito,85346,LIN1006,TP11B,S1,Jorge Alexandre Loureiro Pinto,17:00-18:30,,,,,
Produção do Português Escrito,85346,LIN1006,TP12 - ZOOM,S2,Helena Gorete Silva Moniz,,,,,17:00-18:30,
Produção do Português Escrito,85346,LIN1006,TP12A,S2,Helena Gorete Silva Moniz,14:00-15:30,,,,,
Produção do Português Escrito,85346,LIN1006,TP12B,S2,Helena Gorete Silva Moniz,15:30-17:00,,,,,
Produção do Português Escrito,85346,LIN1006,TP13 - ZOOM,S2,Docente a Indicar,,09:30-11:00,,,,
Produção do Português Escrito,85346,LIN1006,TP13A,S2,Fernando Jorge da Costa de Brissos,,,,08:00-09:30,,
Produção do Português Escrito,85346,LIN1006,TP13B,S2,Fernando Jorge da Costa de Brissos,,,,09:30-11:00,,
Produção do Português Escrito,85346,LIN1006,TP1A,S1,Anabela Proença Leitão Martins Gonçalves/Maria Madalena Coelho da Mota Brito Colaço Belo,,,,,11:00-12:30,
Produção do Português Escrito,85346,LIN1006,TP1B,S1,Anabela Proença Leitão Martins Gonçalves/Maria Madalena Coelho da Mota Brito Colaço Belo,,,,,12:30-14:00,
Produção do Português Escrito,85346,LIN1006,TP2 e TP3 - ZOOM,S1,Ana Lúcia Silva Dias Gonçalves Santos,,,,,11:00-12:30,
Produção do Português Escrito,85346,LIN1006,TP2A,S1,Ana Lúcia Silva Dias Gonçalves Santos,,08:00-09:30,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Produção do Português Escrito,85346,LIN1006,TP2B,S1,Ana Lúcia Silva Dias Gonçalves Santos,,09:30-11:00,,,,
Produção do Português Escrito,85346,LIN1006,TP3A,S1,Ana Lúcia Silva Dias Gonçalves Santos,,,08:00-09:30,,,
Produção do Português Escrito,85346,LIN1006,TP3B,S1,Ana Lúcia Silva Dias Gonçalves Santos,,,09:30-11:00,,,
Produção do Português Escrito,85346,LIN1006,TP4 - ZOOM,S1,Maria Madalena Coelho da Mota Brito Colaço Belo,,,14:00-15:30,,,
Produção do Português Escrito,85346,LIN1006,TP4A,S1,Maria Madalena Coelho da Mota Brito Colaço Belo,,09:30-11:00,,,,
Produção do Português Escrito,85346,LIN1006,TP4B,S1,Maria Madalena Coelho da Mota Brito Colaço Belo,,11:00-12:30,,,,
Produção do Português Escrito,85346,LIN1006,TP5 - ZOOM,S1,António Manuel dos Santos Avelar,,,,,09:30-11:00,
Produção do Português Escrito,85346,LIN1006,TP5A,S1,António Manuel dos Santos Avelar,,,08:00-09:30,,,
Produção do Português Escrito,85346,LIN1006,TP5B,S1,António Manuel dos Santos Avelar,,,09:30-11:00,,,
Produção do Português Escrito,85346,LIN1006,TP6 - ZOOM,S1,Nélia Maria Pedro Alexandre,,,,14:00-15:30,,
Produção do Português Escrito,85346,LIN1006,TP6A,S1,Nélia Maria Pedro Alexandre,,14:00-15:30,,,,
Produção do Português Escrito,85346,LIN1006,TP6B,S1,Nélia Maria Pedro Alexandre,,12:30-14:00,,,,
Produção do Português Escrito,85346,LIN1006,TP7 e TP8 - ZOOM,S1,Hugo Canelas Cardoso,,,,,14:00-15:30,
Produção do Português Escrito,85346,LIN1006,TP7A,S1,Hugo Canelas Cardoso,,15:30-17:00,,,,
Produção do Português Escrito,85346,LIN1006,TP7B,S1,Hugo Canelas Cardoso,,17:00-18:30,,,,
Produção do Português Escrito,85346,LIN1006,TP8A,S1,Hugo Canelas Cardoso,09:30-11:00,,,,,
Produção do Português Escrito,85346,LIN1006,TP8B,S1,Hugo Canelas Cardoso,11:00-12:30,,,,,
Produção do Português Escrito,85346,LIN1006,TP9 - ZOOM,S2,Fernando Jorge da Costa de Brissos,,,08:00-09:30,,,
Produção do Português Escrito,85346,LIN1006,TP9A,S2,Fernando Jorge da Costa de Brissos,,,,,08:00-09:30,
Produção do Português Escrito,85346,LIN1006,TP9B,S2,Fernando Jorge da Costa de Brissos,,,,,09:30-11:00,
Psicolinguística,84086,LIN2055,TP1 - ZOOM,S2,João Veríssimo,,14:00-15:30,,,,
Psicolinguística,84086,LIN2055,TP1A,S2,João Veríssimo,,,,14:00-15:30,,
Psicolinguística,84086,LIN2055,TP1B,S2,João Veríssimo,,,,15:30-17:00,,
Questões de Epistemologia,FIL2064,FIL2064,TP1 - ZOOM,S1,Domingos José Matos Sousa Faria/Michel Croce/Pedro Miguel Galvão Lourenço,,,,,12:30-14:00,
Questões de Epistemologia,FIL2064,FIL2064,TP1A,S1,Domingos José Matos Sousa Faria/Michel Croce/Pedro Miguel Galvão Lourenço,12:30-14:00,,,,,
Questões de Epistemologia,FIL2064,FIL2064,TP1B,S1,Domingos José Matos Sousa Faria/Michel Croce/Pedro Miguel Galvão Lourenço,,,,12:30-14:00,,
Questões de Filosofia Antiga,FIL2065,FIL2065,TP1 - ZOOM,S2,Ada Bronowski,17:00-18:30,,,,,
Questões de Filosofia Antiga,FIL2065,FIL2065,TP1A,S2,Ada Bronowski,,08:00-09:30,,,,
Questões de Filosofia Antiga,FIL2065,FIL2065,TP1B,S2,Ada Bronowski,,,,,08:00-09:30,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Raízes Culturais Europeias,51192,LAC2136,P1,S1,Nereida Villagra Hidalgo,,,15:30-17:00,,,
Raízes Culturais Europeias,51192,LAC2136,P2,S1,Nereida Villagra Hidalgo,,,17:00-18:30,,,
Raízes Culturais Europeias,51192,LAC2136,T1 - ZOOM,S1,José Pedro Silva Santos Serra,,,,15:30-17:00,,
Raízes da Cultura Europeia,51200,LAC2137,P1,S1,Nereida Villagra Hidalgo,,,15:30-17:00,,,
Raízes da Cultura Europeia,51200,LAC2137,P2,S1,Nereida Villagra Hidalgo,,,17:00-18:30,,,
Raízes da Cultura Europeia,51200,LAC2137,T1 - ZOOM,S1,José Pedro Silva Santos Serra,,,,15:30-17:00,,
Recepção dos Autores Clássicos na Literatura Portuguesa,45645,LAC2139,TP1,S2,Maria Cristina de Castro Maia de Sousa Pimentel,,,,,14:00-15:30,
Recepção dos Autores Clássicos na Literatura Portuguesa,45645,LAC2139,TP1 - ZOOM,S2,Maria Cristina de Castro Maia de Sousa Pimentel,09:30-11:00,,,,,
Recursos Linguísticos: Corpora e Léxicos,87060,LIN2086,TP1 - ZOOM,S2,Ernestina Maria Reia Carrilho,,,,08:00-09:30,,
Recursos Linguísticos: Corpora e Léxicos,87060,LIN2086,TP1A,S2,Ernestina Maria Reia Carrilho,,08:00-09:30,,,,
Recursos Linguísticos: Corpora e Léxicos,87060,LIN2086,TP1B,S2,Ernestina Maria Reia Carrilho,,09:30-11:00,,,,
Recursos para a Análise Linguística,85350,LIN2056,TP1 - ZOOM,S2,Ernestina Maria Reia Carrilho,,,,08:00-09:30,,
Recursos para a Análise Linguística,85350,LIN2056,TP1A,S2,Ernestina Maria Reia Carrilho,,08:00-09:30,,,,
Recursos para a Análise Linguística,85350,LIN2056,TP1B,S2,Ernestina Maria Reia Carrilho,,09:30-11:00,,,,
Recursos para a Análise Linguística,85350,LIN2056,TP2 - ZOOM,S2,Ana Isabel Mata da Silva,,,,,14:00-15:30,
Recursos para a Análise Linguística,85350,LIN2056,TP2A,S2,Ana Isabel Mata da Silva,,15:30-17:00,,,,
Recursos para a Análise Linguística,85350,LIN2056,TP2B,S2,Ana Isabel Mata da Silva,,18:30-20:00,,,,
Recursos para a Análise Linguística,85350,LIN2056,TP3 - ZOOM,S2,Marisa Alexandra Sousa da Cruz,,,,,14:00-15:30,
Recursos para a Análise Linguística,85350,LIN2056,TP3A,S2,Marisa Alexandra Sousa da Cruz,14:00-15:30,,,,,
Recursos para a Análise Linguística,85350,LIN2056,TP3B,S2,Marisa Alexandra Sousa da Cruz,15:30-17:00,,,,,
Recursos para Análise Literária,99875,LAC1005,TP1 - ZOOM,S1,Cristina Maria Matias Sobral,,,,,11:00-12:30,
Recursos para Análise Literária,99875,LAC1005,TP1A,S1,Cristina Maria Matias Sobral,,,11:00-12:30,,,
Recursos para Análise Literária,99875,LAC1005,TP1B,S1,Cristina Maria Matias Sobral,,,12:30-14:00,,,
Relações Internacionais (Estudos Europeus),51124,XFD2016,TP1 - ZOOM,S1,Ana Soares Pinto,,,12:30-14:00,,,
Relações Internacionais (Estudos Europeus),51124,XFD2016,TP1A,S1,Ana Soares Pinto,,,,,11:00-12:30,
Relações Internacionais (Estudos Europeus),51124,XFD2016,TP1B,S1,Ana Soares Pinto,,,,,12:30-14:00,
Religiões Africanas,77112,HIS2105,TP1 - ZOOM,S2,José Augusto Nunes da Silva Horta,,,11:00-12:30,,,
Religiões Africanas,77112,HIS2105,TP1A,S2,José Augusto Nunes da Silva Horta,,,,,11:00-12:30,
Religiões Africanas,77112,HIS2105,TP1B,S2,José Augusto Nunes da Silva Horta,,,,,12:30-14:00,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Romeno A1.1,87215,LLE1271,TP1,S1,Roxana Stela Ciolaneanu,,09:30-11:00,09:30-11:00,,,
Romeno A1.1,87215,LLE1271,TP1 - ZOOM,S1,Roxana Stela Ciolaneanu,,,,09:30-11:00,,
Romeno A1.2,87216,LLE1272,TP1,S2,Roxana Stela Ciolaneanu,,09:30-11:00,09:30-11:00,,,
Romeno A1.2,87216,LLE1272,TP1 - ZOOM,S2,Roxana Stela Ciolaneanu,,,,09:30-11:00,,
Romeno A2,87217,LLE1273,TP1,S1,Roxana Stela Ciolaneanu,,11:00-12:30,11:00-12:30,,,
Romeno A2,87217,LLE1273,TP1 - ZOOM,S1,Roxana Stela Ciolaneanu,,,,11:00-12:30,,
Romeno B1.1,87218,LLE2271,TP1,S2,Roxana Stela Ciolaneanu,,11:00-12:30,11:00-12:30,,,
Romeno B1.1,87218,LLE2271,TP1 - ZOOM,S2,Roxana Stela Ciolaneanu,,,,11:00-12:30,,
Romeno B1.2,87219,LLE2272,TP1,S1,Roxana Stela Ciolaneanu,,15:30-17:00,15:30-17:00,,,
Romeno B1.2,87219,LLE2272,TP1 - ZOOM,S1,Roxana Stela Ciolaneanu,,,,15:30-17:00,,
Romeno B2,87213,LLE2273,TP1,S2,Roxana Stela Ciolaneanu,,12:30-14:00,12:30-14:00,,,
Romeno B2,87213,LLE2273,TP1 - ZOOM,S2,Roxana Stela Ciolaneanu,,,,12:30-14:00,,
Sânscrito I,78407,LLE1291,TP1,S1,Paulo Alexandre Meira da Conceição,,,14:00-15:30,,14:00-15:30,
Sânscrito I,78407,LLE1291,TP1 - ZOOM,S1,Paulo Alexandre Meira da Conceição,14:00-15:30,,,,,
Sânscrito II,78408,LLE1292,TP1,S2,Paulo Alexandre Meira da Conceição,,,14:00-15:30,,14:00-15:30,
Sânscrito II,78408,LLE1292,TP1 - ZOOM,S2,Paulo Alexandre Meira da Conceição,14:00-15:30,,,,,
Semântica,85605,LIN2057,TP1 - ZOOM,S1,Rui Pedro Ribeiro Marques,,,,,14:00-15:30,
Semântica,85605,LIN2057,TP1A,S1,Rui Pedro Ribeiro Marques,,,11:00-12:30,,,
Semântica,85605,LIN2057,TP1B,S1,Rui Pedro Ribeiro Marques,,,,14:00-15:30,,
Semântica,85605,LIN2057,TP2 - ZOOM,S2,Rui Pedro Ribeiro Marques,,,17:00-18:30,,,
Semântica,85605,LIN2057,TP2A,S2,Rui Pedro Ribeiro Marques,15:30-17:00,,,,,
Semântica,85605,LIN2057,TP2B,S2,Rui Pedro Ribeiro Marques,17:00-18:30,,,,,
Seminário,78172_6ects,HIS3003,"TP1 - História Antiga -Tutoria",S2,"Amílcar Manuel Ribeiro Guerra / Nuno Manuel Simões Rodrigues / António Joaquim Ramos dos Santos /Rogério Paulo Nunes Ferreira de Sousa + H_PA_HA",,,,,,
Seminário,78172_6ects,HIS3003,"TP2 - História Medieval -Tutoria",S2,"Ana Maria Seabra de Almeida Rodrigues / Hermenegildo Nuno Goinhas Fernandes / Maria ManuelaTavares dos Santos Silva / José Manuel Henriques Varandas / Julieta Maria Aires de Almeida Araújo",,,,,,
Seminário,78172_6ects,HIS3003,"TP3 - História Moderna -Tutoria",S2,"Nuno Gonçalo Pimenta de Freitas Monteiro / Maria de Fátima Marques Dias Antunes dos Reis / João dosSantos Ramalho Cosme / José Manuel Damião Soares Rodrigues / Isabel Maria Ribeiro Mendes Drumond",,,,,,
Seminário,78172_6ects,HIS3003,"TP4 - ZOOM - HistóriaContemporânea",S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,,,,18:30-20:00,,
Seminário,78172_6ects,HIS3003,"TP4A - HistóriaContemporânea",S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,,09:30-11:00,,,,
Seminário,78172_6ects,HIS3003,"TP4B - HistóriaContemporânea",S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,,11:00-12:30,,,,
Seminário,78172_6ects,HIS3003,"TP5  - ZOOM - História dosDescobrimentos e da",S2,Ângela Maria Vieira Domingues,,,,,09:30-11:00,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Seminário,78172_6ects,HIS3003,"TP5A - História dosDescobrimentos e da",S2,Ângela Maria Vieira Domingues,,,,08:00-09:30,,
Seminário,78172_6ects,HIS3003,"TP5B - História dosDescobrimentos e da",S2,Ângela Maria Vieira Domingues,,,,09:30-11:00,,
Seminário,78172_6ects,HIS3003,TP6 - História de África,S2,Augusto Manuel Saraiva do Nascimento Diniz/José Augusto Nunes da Silva Horta,,,,11:00-12:30,,
Seminário,78172_6ects,HIS3003,"TP6 - História de África -ZOOM",S2,Augusto Manuel Saraiva do Nascimento Diniz/José Augusto Nunes da Silva Horta,14:00-15:30,,,,,
Seminário (Estudos Africanos - História de África),78172_12ects,HIS3006,TP1,S2,Augusto Manuel Saraiva do Nascimento Diniz/José Augusto Nunes da Silva Horta,,,,11:00-12:30,,
Seminário (Estudos Africanos - História de África),78172_12ects,HIS3006,TP1 - ZOOM,S2,Augusto Manuel Saraiva do Nascimento Diniz/José Augusto Nunes da Silva Horta,14:00-15:30,,,,,
Seminário (Major em Artes do Espectáculo),97645,LAC3001,TP1 - ZOOM,S2,Maria João Oliveira Carvalho de Almeida,,,,12:30-14:00,,
Seminário (Major em Artes do Espectáculo),97645,LAC3001,TP1A,S2,Maria João Oliveira Carvalho de Almeida,12:30-14:00,,,,,
Seminário (Major em Artes do Espectáculo),97645,LAC3001,TP1B,S2,Maria João Oliveira Carvalho de Almeida,14:00-15:30,,,,,
Seminário (Tradução),51260_12ects,LIN3001,TP1 - ZOOM,S2,Anabela Proença Leitão Martins Gonçalves,,,12:30-14:00,,,
Seminário (Tradução),51260_12ects,LIN3001,TP1A,S2,Anabela Proença Leitão Martins Gonçalves,,,,12:30-14:00,,
Seminário (Tradução),51260_12ects,LIN3001,TP1B,S2,Anabela Proença Leitão Martins Gonçalves,,,,14:00-15:30,,
Seminário [Estudos Africanos - Linguística],78611,HIS3006,TP1,S2,Tjerk Hagemeijer,,12:30-14:00,,,,
Seminário [Estudos Africanos - Linguística],78611,HIS3006,TP1 - ZOOM,S2,Tjerk Hagemeijer,,,,,11:00-12:30,
Seminário [Major em História],HIS3007,HIS3007,"TP1 - História Antiga -Tutoria",S2,"Amílcar Manuel Ribeiro Guerra / Nuno Manuel Simões Rodrigues / António Joaquim Ramos dos Santos /Rogério Paulo Nunes Ferreira de Sousa + H_PA_HA",,,,,,
Seminário [Major em História],HIS3007,HIS3007,"TP2 - História Medieval -Tutoria",S2,"Ana Maria Seabra de Almeida Rodrigues / Hermenegildo Nuno Goinhas Fernandes / Maria ManuelaTavares dos Santos Silva / José Manuel Henriques Varandas / Julieta Maria Aires de Almeida Araújo",,,,,,
Seminário [Major em História],HIS3007,HIS3007,"TP3 - História Moderna -Tutoria",S2,"Nuno Gonçalo Pimenta de Freitas Monteiro / Maria de Fátima Marques Dias Antunes dos Reis / João dosSantos Ramalho Cosme / José Manuel Damião Soares Rodrigues / Isabel Maria Ribeiro Mendes Drumond",,,,,,
Seminário [Major em História],HIS3007,HIS3007,"TP4 - ZOOM - HistóriaContemporânea",S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,,,,18:30-20:00,,
Seminário [Major em História],HIS3007,HIS3007,"TP4A - HistóriaContemporânea",S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,,09:30-11:00,,,,
Seminário [Major em História],HIS3007,HIS3007,"TP4B - HistóriaContemporânea",S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,,11:00-12:30,,,,
Seminário [Major em História],HIS3007,HIS3007,"TP5  - ZOOM - História dosDescobrimentos e da",S2,Ângela Maria Vieira Domingues,,,,,09:30-11:00,
Seminário [Major em História],HIS3007,HIS3007,"TP5A - História dosDescobrimentos e da",S2,Ângela Maria Vieira Domingues,,,,08:00-09:30,,
Seminário [Major em História],HIS3007,HIS3007,"TP5B - História dosDescobrimentos e da",S2,Ângela Maria Vieira Domingues,,,,09:30-11:00,,
Seminário [Major em História],HIS3007,HIS3007,TP6 - História de África,S2,Augusto Manuel Saraiva do Nascimento Diniz/José Augusto Nunes da Silva Horta,,,,11:00-12:30,,
Seminário [Major em História],HIS3007,HIS3007,"TP6 - História de África -ZOOM",S2,Augusto Manuel Saraiva do Nascimento Diniz/José Augusto Nunes da Silva Horta,14:00-15:30,,,,,
Seminário 1,76361,HIS3004,TP1 - ZOOM,S1,Carlos Jorge Gonçalves Soares Fabião,,,11:00-12:30,,,
Seminário 1,76361,HIS3004,TP1A,S1,Carlos Jorge Gonçalves Soares Fabião,,,,11:00-12:30,,
Seminário 1,76361,HIS3004,TP1B,S1,Carlos Jorge Gonçalves Soares Fabião,,,,15:30-17:00,,
Seminário 2,76394,HIS3005,TP1 - Regime de Tutoria,S2,Carlos Jorge Gonçalves Soares Fabião,17:00-20:00,,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Seminário de Investigação (Filosofia),34496,FIL3001,TP1 - ZOOM,S2,Carlos João Tavares Nunes Correia,,,,,11:00-12:30,
Seminário em ACC,98126,LAC3002,TP1 - ZOOM,S2,Ângela Maria Valadas Fernandes,,,17:00-18:30,,,
Seminário em ACC,98126,LAC3002,TP1A,S2,Ângela Maria Valadas Fernandes,,12:30-14:00,,,,
Seminário em ACC,98126,LAC3002,TP1B,S2,Ângela Maria Valadas Fernandes,,14:00-15:30,,,,
Seminário ou Estágio Curricular [Estudos Europeus],75980,HIS3008,TP1 - ZOOM,S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,,,,17:00-18:30,,
Seminário ou Estágio Curricular [Estudos Europeus],75980,HIS3008,TP1A,S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,15:30-17:00,,,,,
Seminário ou Estágio Curricular [Estudos Europeus],75980,HIS3008,TP1B,S2,António Adriano de Ascensão Pires Ventura/Teresa Maria e Sousa Nunes,17:00-18:30,,,,,
Seminário/Estágio (Artes do Espectáculo),99888,LAC3006,TP1 - ZOOM,S2,Maria João Oliveira Carvalho de Almeida,,,,12:30-14:00,,
