Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Análise Textual Orientada para a Tradução,86834,LIN2003,TP2A,S2,Lucia Comparin,,,,,15:30-17:00,
Análise Textual Orientada para a Tradução,86834,LIN2003,TP2B,S2,Lucia Comparin,,,,,17:00-18:30,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Antropologia e Artes Performativas,98003,FIL2001,TP1 - ZOOM,S1,Nuno Gabriel de Castro Nabais dos Santos,,,,,09:30-11:00,
Antropologia e Artes Performativas,98003,FIL2001,TP1A,S1,Nuno Gabriel de Castro Nabais dos Santos,14:00-15:30,,,,,
Antropologia e Artes Performativas,98003,FIL2001,TP1B,S1,Nuno Gabriel de Castro Nabais dos Santos,15:30-17:00,,,,,
Antropologia e Cultura,56026,FIL2002,TP1 - ZOOM,S1,Carlos João Tavares Nunes Correia,14:00-15:30,,14:00-15:30,,,
Antropologia Filosófica,34961,FIL2003,TP1 - ZOOM,S1,Carlos João Tavares Nunes Correia,14:00-15:30,,14:00-15:30,,,
Aquisição e Desenvolvimento de Língua Não Materna,85956,LIN2005,TP1 - ZOOM,S1,Maria João dos Reis Freitas,,,,,12:30-14:00,
Aquisição e Desenvolvimento de Língua Não Materna,85956,LIN2005,TP1A,S1,Maria João dos Reis Freitas,,12:30-14:00,,,,
Aquisição e Desenvolvimento de Língua Não Materna,85956,LIN2005,TP1B,S1,Maria João dos Reis Freitas,,14:00-15:30,,,,
Aquisição e Desenvolvimento Linguísticos,86272,LIN2006,TP1  ZOOM,S1,Maria João dos Reis Freitas,,,,,12:30-14:00,
Aquisição e Desenvolvimento Linguísticos,86272,LIN2006,TP1A,S1,Maria João dos Reis Freitas,,12:30-14:00,,,,
Aquisição e Desenvolvimento Linguísticos,86272,LIN2006,TP1B,S1,Maria João dos Reis Freitas,,14:00-15:30,,,,
Árabe I,82784,LLE1021,TP1,S1,Badr Younis Youssef Hassanien,,18:30-20:00,,18:30-20:00,,
Árabe I,82784,LLE1021,TP1 - ZOOM,S1,Badr Younis Youssef Hassanien,,,,,18:30-20:00,
Árabe II,82795,LLE1022,TP1,S2,Badr Younis Youssef Hassanien,17:00-18:30,,,17:00-18:30,,
Árabe II,82795,LLE1022,TP1 - ZOOM,S2,Badr Younis Youssef Hassanien,,,,,17:00-18:30,
Árabe III,82804,LLE2021,TP1,S1,Badr Younis Youssef Hassanien,,17:00-18:30,,17:00-18:30,,
Árabe III,82804,LLE2021,TP1 - ZOOM,S1,Badr Younis Youssef Hassanien,,,,,17:00-18:30,
Árabe IV,82815,LLE2022,TP1,S2,Badr Younis Youssef Hassanien,20:00-21:30,,,20:00-21:30,,
Árabe IV,82815,LLE2022,TP1 - ZOOM,S2,Badr Younis Youssef Hassanien,,,,,20:00-21:30,
Árabe V,86340,LLE3021,TP1,S1,Badr Younis Youssef Hassanien,,20:00-21:30,,20:00-21:30,,
Árabe V,86340,LLE3021,TP1 - ZOOM,S1,Badr Younis Youssef Hassanien,,,,,20:00-21:30,
